datetime,temp,humidity,light,bluetooth_devices,bluetooth_non_personal_devices
3/11/2017 11:37,23.1,18.1,920,6,
3/11/2017 11:37,23.2,18.1,458,7,
3/11/2017 11:38,23.2,18.4,937,9,
3/11/2017 11:38,23.2,18.2,471,9,
3/11/2017 11:38,23.2,18.3,458,9,
3/11/2017 11:38,23.1,18.2,450,11,
3/11/2017 11:38,23.2,18.3,458,19,
3/11/2017 11:38,23.2,18.3,472,22,
3/11/2017 11:38,23.1,18.2,447,22,
3/11/2017 11:38,23.1,18.2,472,22,
3/11/2017 11:38,23.2,18.2,468,22,
3/11/2017 11:39,23.2,18.3,451,24,
3/11/2017 11:39,23.1,18.2,473,24,
3/11/2017 11:39,23.2,18.2,463,24,
3/11/2017 11:39,23.2,18.2,841,24,
3/11/2017 11:39,23.2,18.2,928,28,
3/11/2017 11:39,23.2,18.1,939,32,
3/11/2017 11:39,23.2,18.1,450,32,
3/11/2017 11:39,23.2,18.2,468,32,
3/11/2017 11:39,23.2,18.2,443,33,
3/11/2017 11:39,23.2,18.3,458,34,
3/11/2017 11:39,23.2,18.2,915,35,
3/11/2017 11:40,23.2,18.1,926,36,
3/11/2017 11:40,23.2,18.2,942,36,
3/11/2017 11:40,23.2,18,466,36,
3/11/2017 11:40,23.2,18.1,923,36,
3/11/2017 11:40,23.2,18.1,469,37,
3/11/2017 11:40,23.2,18.2,465,37,
3/11/2017 11:40,23.2,18.1,463,37,
3/11/2017 11:40,23.2,18.1,923,37,
3/11/2017 11:40,23.2,18,456,37,
3/11/2017 11:41,23.2,18.2,928,37,
3/11/2017 11:41,23.2,18.2,890,37,
3/11/2017 11:41,23.2,18.3,464,37,
3/11/2017 11:41,23.2,18.3,457,37,
3/11/2017 11:41,23.2,18.2,456,37,
3/11/2017 11:41,23.2,18.2,464,37,
3/11/2017 11:41,23.2,18.2,453,39,
3/11/2017 11:41,23.2,18.2,445,39,
3/11/2017 11:41,23.2,18.4,918,39,
3/11/2017 11:41,23.2,18.3,446,39,
3/11/2017 11:42,23.2,18.4,454,41,
3/11/2017 11:42,23.2,18.3,450,42,
3/11/2017 11:42,23.2,18.3,454,42,
3/11/2017 11:42,23.2,18.2,446,42,
3/11/2017 11:42,23.2,18.2,446,42,
3/11/2017 11:42,23.2,18.2,461,42,
